User,Timestamp,"Bin1,x","Bin2,x","Bin3,x","Bin4,x","Bin5,x","Bin6,x","Bin7,x","Bin8,x","Bin9,x","Bin10,x","Bin1,y","Bin2,y","Bin3,y","Bin4,y","Bin5,y","Bin6,y","Bin7,y","Bin8,y","Bin9,y","Bin10,y","Bin1,z","Bin2,z","Bin3,z","Bin4,z","Bin5,z","Bin6,z","Bin7,z","Bin8,z","Bin9,z","Bin10,z",TimeDiffPeaks-x,TimeDiffPeaks-y,TimeDiffPeaks-z,AvgAbsDiff-x,AvgAbsDiff-y,AvgAbsDiff-z,AvgAcc-x,AvgAcc-y,AvgAcc-z,StdDev-x,StdDev-y,StdDev-z,AvgResAcc,Label
rpshah2,1511212819156.0,0.004950495049504950495049504950,0.002475247524752475247524752475,0.01237623762376237623762376238,0.02227722772277227722772277228,0.08168316831683168316831683168,0.1361386138613861386138613861,0.2574257425742574257425742574,0.2871287128712871287128712871,0.1485148514851485148514851485,0.03960396039603960396039603960,0.01237623762376237623762376238,0.04207920792079207920792079208,0.09900990099009900990099009901,0.1039603960396039603960396040,0.1188118811881188118811881188,0.1336633663366336633663366337,0.09900990099009900990099009901,0.1089108910891089108910891089,0.1212871287128712871287128713,0.1138613861386138613861386139,0.02970297029702970297029702970,0.05445544554455445544554455446,0.1138613861386138613861386139,0.1534653465346534653465346535,0.1732673267326732673267326733,0.1658415841584158415841584158,0.1460396039603960396039603960,0.1064356435643564356435643564,0.03217821782178217821782178218,0.01485148514851485148514851485,57.5797101449,65.347107438,70.2410714286,0.736734227589,0.928332319915,1.50860095971,-0.8036936014005454,1.6672945305852607,9.633933681072575,0.9672571989896175,1.0880284214908948,1.8409824461856945,0.401000062325054,walking
achan,1511212816917.0,0.004537205081669691470054446461,0.02631578947368421052631578947,0.05353901996370235934664246824,0.09255898366606170598911070780,0.1134301270417422867513611615,0.1896551724137931034482758621,0.2214156079854809437386569873,0.1751361161524500907441016334,0.08076225045372050816696914701,0.03539019963702359346642468240,0.02087114337568058076225045372,0.04627949183303085299455535390,0.1052631578947368421052631579,0.1424682395644283121597096189,0.1470054446460980036297640653,0.1179673321234119782214156080,0.1433756805807622504537205082,0.1333938294010889292196007260,0.09800362976406533575317604356,0.03085299455535390199637023593,0.03539019963702359346642468240,0.09891107078039927404718693285,0.1506352087114337568058076225,0.1887477313974591651542649728,0.1343012704174228675136116152,0.08802177858439201451905626134,0.07259528130671506352087114338,0.1070780399274047186932849365,0.08348457350272232304900181488,0.02903811252268602540834845735,40.1897810219,48.6371681416,64.1578947368,0.888106572301,0.981829589865,1.41717599625,0.1596794197650224,3.019397050196376,9.23845568759039,1.1200324814750446,1.158553149200394,1.6808857347034376,1.0865141266757012,walking
mbaybay,1511212822413.0,0.004103967168262653898768809850,0.001367989056087551299589603283,0.004103967168262653898768809850,0.009575923392612859097127222982,0.05061559507523939808481532148,0.2544459644322845417236662107,0.3734610123119015047879616963,0.2216142270861833105335157319,0.06566347469220246238030095759,0.01094391244870041039671682627,0.004103967168262653898768809850,0.005471956224350205198358413133,0.006839945280437756497948016416,0.002735978112175102599179206566,0.01094391244870041039671682627,0.09439124487004103967168262654,0.2298221614227086183310533516,0.3433652530779753761969904241,0.2270861833105335157318741450,0.06155950752393980848153214774,0.03967168262653898768809849521,0.1559507523939808481532147743,0.3269493844049247606019151847,0.2476060191518467852257181943,0.1299589603283173734610123119,0.06429548563611491108071135431,0.02325581395348837209302325581,0.008207934336525307797537619699,0,0.002735978112175102599179206566,65.2775119617,65.1961722488,67.93,1.03180859319,0.891237403597,1.51221613625,-0.6709201254368481,1.4791835257847235,10.082291025143478,1.392109272665363,1.2091247952233435,1.9735003456397513,0.7590613336562666,walking
ahsu6,1511212816618.0,0.001692047377326565143824027073,0.001692047377326565143824027073,0.003384094754653130287648054146,0.04060913705583756345177664975,0.1099830795262267343485617597,0.1641285956006768189509306261,0.1810490693739424703891708968,0.2571912013536379018612521151,0.1404399323181049069373942470,0.06598984771573604060913705584,0.01692047377326565143824027073,0.05414551607445008460236886633,0.09475465313028764805414551607,0.1962774957698815566835871404,0.2064297800338409475465313029,0.1590524534686971235194585448,0.1082910321489001692047377327,0.07614213197969543147208121827,0.05752961082910321489001692047,0.02199661590524534686971235195,0.02030456852791878172588832487,0.06091370558375634517766497462,0.1065989847715736040609137056,0.1607445008460236886632825719,0.1928934010152284263959390863,0.1979695431472081218274111675,0.1201353637901861252115059222,0.05245346869712351945854483926,0.03722504230118443316412859560,0.02368866328257191201353637902,67.9482758621,68.6279069767,73.89375,0.686539575301,0.724090059538,1.32318686179,-0.5428009291389065,1.7931066987478188,9.307058524762716,0.8417065545159829,0.9047704045219279,1.6967438666564216,0.566223279045973,walking
Chai,1511212819904.0,0.02819956616052060737527114967,0.04772234273318872017353579176,0.1258134490238611713665943601,0.1691973969631236442516268980,0.2841648590021691973969631236,0.1930585683297180043383947939,0.09978308026030368763557483731,0.02386117136659436008676789588,0.01518438177874186550976138829,0.006507592190889370932754880694,0.02603036876355748373101952278,0.09110629067245119305856832972,0.1670281995661605206073752711,0.2429501084598698481561822126,0.2234273318872017353579175705,0.1757049891540130151843817787,0.05856832971800433839479392625,0.006507592190889370932754880694,0.004338394793926247288503253796,0.002169197396963123644251626898,0.01735357917570498915401301518,0.1041214750542299349240780911,0.3318872017353579175704989154,0.2668112798264642082429501085,0.1778741865509761388286334056,0.07592190889370932754880694143,0.01735357917570498915401301518,0.004338394793926247288503253796,0.002169197396963123644251626898,0,54.9638554217,61.5337837838,65.847826087,0.905674067141,0.840608952987,1.92553264865,-0.3475947183538673,3.1373514105078972,9.233778318458938,1.1865451116233416,1.0492359645604412,2.4591330332786607,0.4566859899535987,walking
ahsu6,1511212816618.0,0.001692047377326565143824027073,0.001692047377326565143824027073,0.003384094754653130287648054146,0.04060913705583756345177664975,0.1099830795262267343485617597,0.1641285956006768189509306261,0.1810490693739424703891708968,0.2571912013536379018612521151,0.1404399323181049069373942470,0.06598984771573604060913705584,0.01692047377326565143824027073,0.05414551607445008460236886633,0.09475465313028764805414551607,0.1962774957698815566835871404,0.2064297800338409475465313029,0.1590524534686971235194585448,0.1082910321489001692047377327,0.07614213197969543147208121827,0.05752961082910321489001692047,0.02199661590524534686971235195,0.02030456852791878172588832487,0.06091370558375634517766497462,0.1065989847715736040609137056,0.1607445008460236886632825719,0.1928934010152284263959390863,0.1979695431472081218274111675,0.1201353637901861252115059222,0.05245346869712351945854483926,0.03722504230118443316412859560,0.02368866328257191201353637902,67.9482758621,68.6279069767,73.89375,0.686539575301,0.724090059538,1.32318686179,-0.5428009291389065,1.7931066987478188,9.307058524762716,0.8417065545159829,0.9047704045219279,1.6967438666564216,0.566223279045973,walking
npbandal,1511212238708.0,0.001257818874082132172967092739,0.009110688060919227631221104161,0.03117351101441392439488713625,0.1077984770193092194723959750,0.4078052760402502039706282295,0.1739869458797933097633940713,0.1384960565678542289910252924,0.1235722056023932553712265434,0.006595050312754963285286918684,0.0001359804188196899646450911069,0.0001699755235246124558063638836,0.0009178678270329072613543649714,0.002243676910524884416644003264,0.04847701930921947239597497960,0.1969676366603209137884144683,0.06170111503943432145771008975,0.09352053304324177318466140876,0.2016249660048952950775088387,0.3264209953766657601305412021,0.06193908077236877889583899918,0.00003399510470492249116127277672,0.0001019853141147674734838183302,0.0001019853141147674734838183302,0.0005779167799836823497416372042,0.01567174326896926842534675007,0.1683777536034810987217840631,0.2594846342126733750339951047,0.5433777536034810987217840631,0.01155833559967364699483274408,0.0005779167799836823497416372042,61.1103269331,62.111826142,62.2059165346,2.98091740536,4.17601481861,2.31252390905,1.5170883176286272,0.3087230133551059,6.9903264716241384,3.6832114943244747,4.760203985075754,2.8807519322665653,28.651856802397738,walking
Chai,1511212830992.0,0.004629629629629629629629629630,0.009259259259259259259259259259,0.03009259259259259259259259259,0.07986111111111111111111111111,0.1932870370370370370370370370,0.2754629629629629629629629630,0.2476851851851851851851851852,0.1076388888888888888888888889,0.03935185185185185185185185185,0.008101851851851851851851851852,0.002314814814814814814814814815,0.005787037037037037037037037037,0.02430555555555555555555555556,0.05092592592592592592592592593,0.1678240740740740740740740741,0.1967592592592592592592592593,0.2418981481481481481481481481,0.1597222222222222222222222222,0.1122685185185185185185185185,0.02893518518518518518518518519,0.003472222222222222222222222222,0.03009259259259259259259259259,0.1365740740740740740740740741,0.2337962962962962962962962963,0.2824074074074074074074074074,0.1875,0.05555555555555555555555555556,0.02893518518518518518518518519,0.02083333333333333333333333333,0.01504629629629629629629629630,61.5304659498,64.6377358491,64.2958801498,0.8903285823,0.797934015592,1.6403877516,-1.0873329197918926,2.217909653981527,9.420418598033764,1.1576766154297762,0.988100999978641,2.1840466803226906,0.8532891609366341,walking
mbaybay,1511212840677.0,0.007246376811594202898550724638,0.03442028985507246376811594203,0.06159420289855072463768115942,0.1014492753623188405797101449,0.1485507246376811594202898551,0.2318840579710144927536231884,0.2192028985507246376811594203,0.1159420289855072463768115942,0.05615942028985507246376811594,0.02173913043478260869565217391,0.01268115942028985507246376812,0.01449275362318840579710144928,0.03079710144927536231884057971,0.05253623188405797101449275362,0.1304347826086956521739130435,0.2155797101449275362318840580,0.2644927536231884057971014493,0.1612318840579710144927536232,0.06521739130434782608695652174,0.04710144927536231884057971014,0.01992753623188405797101449275,0.09420289855072463768115942029,0.1413043478260869565217391304,0.2065217391304347826086956522,0.1394927536231884057971014493,0.1394927536231884057971014493,0.125,0.07971014492753623188405797101,0.02898550724637681159420289855,0.01992753623188405797101449275,63.0122699387,64.7232704403,63.1349693252,0.718836835041,0.840124709845,1.4922955923,-0.5265985018965127,1.2636317101077756,10.037969285163326,0.9124823843075396,1.0986739839662047,1.8051690672123122,0.564928402283613,walking
ahsu6,1511212832928.0,0.01980198019801980198019801980,0.06600660066006600660066006601,0.08250825082508250825082508251,0.1320132013201320132013201320,0.1716171617161716171617161716,0.2392739273927392739273927393,0.1468646864686468646864686469,0.06930693069306930693069306931,0.03300330033003300330033003300,0.03135313531353135313531353135,0.008250825082508250825082508251,0.02640264026402640264026402640,0.08910891089108910891089108911,0.09570957095709570957095709571,0.1831683168316831683168316832,0.2541254125412541254125412541,0.1881188118811881188118811881,0.08415841584158415841584158416,0.04455445544554455445544554455,0.01650165016501650165016501650,0.006600660066006600660066006601,0.02310231023102310231023102310,0.09075907590759075907590759076,0.1798679867986798679867986799,0.2178217821782178217821782178,0.2491749174917491749174917492,0.1155115511551155115511551155,0.04620462046204620462046204620,0.03960396039603960396039603960,0.02310231023102310231023102310,71.3411764706,66.7362637363,80.7266666667,0.660041238097,0.569763436386,1.23562815645,-0.25587926682072504,1.8826179126701732,9.3214960129741,0.8370093210016105,0.7365108415628626,1.609351377663364,0.5809476338956477,walking
